1957,,,
290. Bobby Curtis (Villanova),3:57.20* (1),Swarthmore,14-May
291. Michael Kerrigan (Villanova),3:59.60* (2),Swarthmore,14-May
292. Jeff See (unattached),3:58.70 (2),Nashville,2-Jun
293. Jake Watson (Notre Dame),3:59.40* (3),Nashville,2-Jun
294. Ben Gregory (Wisconsin RRT),3:59.69* (4),Nashville,2-Jun
295. Sean Graham (Oregon TC),3:58.4* (2),Beaverton,10-Jun
296. Ben True (Dartmouth),3:59.99 (1),Cambridge,17-Jun
297. Seth Summerside (adidas),3:57.84* (4),Brasschaat,21-Jul
,,,
2008,,,
298. Will Leer (Oregon TC),3:59.83i (1),Seattle,19-Jan
299. Andrew Bumbalough (Georgetown),3:58.46i (1),New Haven,2-Feb
300. John Richardson (Kentucky),3:59.35i* (2),Lexington,2-Feb
301. Steve Sherer (Athletic Performance),3:56.00i* (1),Seattle,2-Feb
302. Kyle Perry (BYU),3:59.16i* (2),Seattle,2-Feb
303. Kyle Alcorn (Arizona State),3:59.82i* (3),Seattle,2-Feb
304. Jack Bolas (Wisconsin),3:59.40i (1),Notre Dame,9-Feb
305. Jordan Fife (Brooks Indiana),3:59.75i* (2),Notre Dame,9-Feb
306. Brandon Bethke (Wisconsin),3:59.85i (3),Notre Dame,9-Feb
307. AJ Acosta (Oregon),3:58.52i (1),Seattle,8-Mar
308. Darren Brown (Texas),3:59.99 (3),Austin,5-Apr
309. Laef Barnes (UCLA),3:59.96* (1),Westwood,12-Apr
310. Scott Bauhs (Chico State),3:59.81* (1),Chico,12-Apr
311. Andrew Wheating (Oregon),3:58.16 (1),Eugene,26-Apr
312. Lopez Lomong (Nike),3:53.97 (5),Eugene,8-Jun
,,,
2009,,,
313. German Fernandez (Oklahoma State),3:56.50i (1),Fayetteville,24-Jan
314. Dorian Ulrey (Arkansas),3:57.60i (2),Fayetteville,24-Jan
315. Liam Boylan-Pett (unattached),3:59.40i (1),University Park,31-Jan
316. Shane Knoll (Michigan State),3:57.36i* (1),Notre Dame,7-Feb
317. Justin Switzer (Michigan),3:58.86i* (3),Notre Dame,7-Feb
318. Jacob Boone (Oklahoma),3:59.07i* (4),Notre Dame,7-Feb
319. Matthew Centrowitz (Oregon),3:57.92i (1),Seattle,14-Feb
320. Craig Miller (Wisconsin),3:59.09i (1),Notre Dame,7-Mar
321. Galen Rupp (Oregon),3:57.86i (1),Seattle,7-Mar
322. Michael Coe (Cal),3:56.18* (1),Berkeley,25-Apr
323. Tommy Schmitz (Saucony),3:58.92 (3),Berkeley,25-Apr
324. Derek Scott (Brooks),3:57.87* (2),St. Louis,23-May
325. Tom Brooks (Oregon TC),3:59.31* (1),Beaverton,28-May
326. Dan Strackeljahn (Big River RC),3:59.77* (2),Murfreesboro,6-Jun
327. Evan Jager (Oregon TC),3:54.35 (7),Eugene,7-Jun
328. Jordan McNamara (Oregon),3:59.87 (1),Eugene,16-Jul
329. Mark Thompson (unattached),3:59.29* (3),Brasschaat,26-Jul
,,,
2010,,,
330. Andrew Bayer (Indiana),3:58.98i (4),Bloomington,29-Jan
331. Erik van Ingen (Binghamton),3:59.58i (1),University Park,30-Jan
332. Abdi Hassan (Arizona),3:59.76i (3),Seattle,30-Jan
333. Alex McClary (unattached),3:57.32i* (2),Fayetteville,12-Feb
334. Andy McClary (unattached),3:58.95i (5),Fayetteville,12-Feb
335. Riley Masters (Maine),3:59.97i (1),Allston,13-Feb
336. Dylan Ferris (Stanford),3:58.90i* (1),Seattle,13-Feb
337. Eric Harasyn (Oklahoma),3:59.97i (3),Seattle,13-Feb
338. Mac Fleet (Oregon),3:57.70i (2),Seattle,13-Feb
339. Mark Matusak (Cal),3:58.36i* (3),Seattle,13-Feb
340. Jordan Horn (adidas),3:58.67i* (5),Seattle,13-Feb
341. Andrew Jesien (unattached),3:58.91i* (7),Seattle,13-Feb
342. Sam Bair Jr (unattached),3:59.72i* (10),Seattle,13-Feb
343. Kyle Merber (Columbia),3:58.52i (1),New York,5-Mar
344. Tony Jordanek (unattached),3:58.80i* (2),New York,5-Mar
345. Kyle Heath (unattached),3:59.83i* (4),New York,5-Mar
346. Ben Blankenship (Minnesota),3:57.87i (1),Seattle,6-Mar
347. Blake Shaw (USC),3:59.85i* (5),Seattle,6-Mar
348. Steve Sodaro (Cal),3:59.42* (2),Berkeley,24-Apr
349. Kyle King (unattached),3:59.84* (4),Nashville,5-Jun
,,,
2011,,,
350. Rob Novak (New York AC),3:59.70i (4),New York,22-Jan
351. Cory Leslie (Ohio State),3:57.97i (1),University Park,29-Jan
352. Patrick Casey (Montana State),3:59.76i(A) (1),Bozeman,4-Feb
353. Mack Chaffee (Ragged Mountain),3:58.80i* (5),Boston,12-Feb
354. Miles Batty (BYU),3:55.79i (2),Seattle,12-Feb
355. Duncan Phillips (Arkansas),3:58.82i (5),Seattle,12-Feb
356. Michael Hammond (Va Tech),3:58.41i (1),Notre Dame,5-Mar
357. Jeff Thode (Iowa),3:58.72i* (2),Notre Dame,5-Mar
358. James Cameron (Washington),3:58.51i* (2),Seattle,5-Mar
359. Matt Elliott (Brooks),3:58.96 (1),Nashville,4-Jun
360. Patrick Todd (unattached),3:59.76* (4),Nashville,4-Jun
361. Kyle Miller (Nike),3:55.38* (5),Eugene,4-Jun
,,,
2012,,,
362. Timothy Ritchie (Boston AA),3:58.49i* (2),Boston,28-Jan
363. Christian Gonzalez (New Jersey/New York TC),3:59.98i* (4),Boston,28-Jan
364. Ryan Hill (NC State),3:58.33i (1),Blacksburg,3-Feb
365. Peter Callahan (Princeton),3:58.86i (1),University Park,4-Feb
366. Brian Gagnon (New Jersey/New York TC),3:57.91i* (2),Boston,11-Feb
367. Eric Jenkins (Northeastern),3:59.18i (4),Boston,11-Feb
368. Alex Hatz (Wisconsin),3:58.68i* (1),Fayetteville,11-Feb
369. George Alex (Oklahoma),3:58.76i* (2),Fayetteville,11-Feb
370. Frezer Legesse (Oklahoma),3:58.95i (4),Fayetteville,11-Feb
371. Michael Atchoo (Stanford),3:59.92i (1),Seattle,11-Feb
